Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Report/No Report
B19-07729,02/24/19,8.0775462962962966E-2,February,Sunday,ALCOHOL RELATED,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,REPORT
B19-04654,02/02/19,23:03,February,Saturday,ALCOHOL RELATED,930 W 17TH ST; WESTERN SKATELAND,LB513,BPD,NO REPORT
B19-03523,01/25/19,21:51,January,Friday,ALCOHOL RELATED,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,NO REPORT
B19-01630,01/11/19,22:42,January,Friday,ALCOHOL RELATED,519 S WASHINGTON ST,LB301,BPD,NO REPORT
B19-12841,03/31/19,16:10,March,Sunday,DISTURBANCE IP,703 W GOURLEY PIKE; APT 72B,LB513,BPD,NO REPORT
B19-12835,03/31/19,15:14,March,Sunday,DISTURBANCE IP,1600 N WILLIS DR; LOT 89,LB513,BPD,NO REPORT
B19-12786,03/30/19,23:40,March,Saturday,DISTURBANCE IP,S COLLEGE AVE & W 4TH ST,LB103,BPD,REPORT
B19-12774,03/30/19,22:25,March,Saturday,DISTURBANCE IP,2995 S PINEWOOD LN,LB433,BPD,REPORT
B19-12763,03/30/19,20:12,March,Saturday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6; ROOM 103,LB212,BPD,NO REPORT
B19-12750,03/30/19,18:22,March,Saturday,DISTURBANCE IP,121 E KIRKWOOD AVE,LB102,BPD,REPORT
B19-12740,03/30/19,17:06,March,Saturday,DISTURBANCE IP,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT
B19-12710,03/30/19,11:39,March,Saturday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT
B19-12667,03/30/19,2.417824074074074E-2,March,Saturday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT
B19-12646,03/29/19,22:49,March,Friday,DISTURBANCE IP,401 S WASHINGTON ST; MIDDLE WAY HOUSE THE RISE,LB104,BPD,NO REPORT
B19-12635,03/29/19,21:19,March,Friday,DISTURBANCE IP,N MAPLE ST & W 17TH ST,,BPD,NO REPORT
B19-12567,03/29/19,14:15,March,Friday,DISTURBANCE IP,1681 N COLLEGE AVE; TRICOCI UNIVERSITY OF BEAUTY CARE,LB512,BPD,NO REPORT
B19-12522,03/29/19,07:19,March,Friday,DISTURBANCE IP,N STONE MILL RD & N OLD STATE ROAD 37,LB201,BPD,REPORT
B19-12517,03/29/19,04:18,March,Friday,DISTURBANCE IP,508 S BASSWOOD DR; APT G,LB404,BPD,NO REPORT
B19-12512,03/29/19,6.5902777777777768E-2,March,Friday,DISTURBANCE IP,W DODDS ST & S ROGERS ST,LB412,BPD,NO REPORT
B19-12506,03/28/19,23:59,March,Thursday,DISTURBANCE IP,508 S BASSWOOD DR; F,LB404,BPD,NO REPORT
B19-12489,03/28/19,22:21,March,Thursday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 1805,LB424,BPD,REPORT
B19-12474,03/28/19,20:57,March,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT 63A,LB336,BPD,NO REPORT
B19-12454,03/28/19,18:58,March,Thursday,DISTURBANCE IP,435 S WALNUT ST; BIG RED LIQUORS E 2ND ST,LB104,BPD,NO REPORT
B19-12395,03/28/19,12:45,March,Thursday,DISTURBANCE IP,1751 N STONELAKE DR; SUPER 8 MOTEL,LB510,BPD,NO REPORT
B19-12367,03/28/19,08:45,March,Thursday,DISTURBANCE IP,430 S WASHINGTON ST; GOLD CASTERS,LB104,BPD,NO REPORT
B19-12361,03/28/19,07:34,March,Thursday,DISTURBANCE IP,301 S WALNUT ST; DOWNTOWN TRANSIT CENTER,LB104,BPD,NO REPORT
B19-12347,03/28/19,5.1724537037037034E-2,March,Thursday,DISTURBANCE IP,430 E KIRKWOOD AVE; znc,LB104,BPD,NO REPORT
B19-12134,03/26/19,18:23,March,Tuesday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT
B19-12076,03/26/19,11:30,March,Tuesday,DISTURBANCE IP,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,REPORT
B19-12051,03/26/19,04:43,March,Tuesday,DISTURBANCE IP,505 S MULLER PKWY,LB404,BPD,NO REPORT
