Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Report/No Report
B19-14550,04-11-19,22:44,April,Thursday,ALCOHOL RELATED,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,NO REPORT
B19-14782,04-12-19,23:07,April,Friday,ALCOHOL RELATED,222 W 2ND ST,LB103,BPD,NO REPORT
B19-15089,04-13-19,23:44,April,Saturday,ALCOHOL RELATED,986 S COPPER BEECH WAY,LB415,BPD,NO REPORT
B19-16486,04-23-19,22:54,April,Tuesday,ALCOHOL RELATED,415 N WASHINGTON ST,LB102,BPD,NO REPORT
B19-17535,04-30-19,18:54,April,Tuesday,ALCOHOL RELATED,4405 E 3RD ST; CIRCLE K GAS 3RD AND PARK RIDGE,LB219,BPD,NO REPORT
B19-17625,05-01-19,08:14,May,Wednesday,ALCOHOL RELATED,205 E KIRKWOOD AVE; FIRST CHRISTIAN CHURCH,LB102,BPD,NO REPORT
B19-23903,06-12-19,15:28,June,Wednesday,ALCOHOL RELATED,S WASHINGTON ST & E 1ST ST,LB301,BPD,REPORT
B19-12892,04-01-19,00:00,April,Monday,DISTURBANCE IP,1136 W 17TH ST; APT 7,LB513,BPD,NO REPORT
B19-12908,04-01-19,07:37,April,Monday,DISTURBANCE IP,2309 S ZONA CT,LB424,BPD,NO REPORT
B19-12982,04-01-19,15:49,April,Monday,DISTURBANCE IP,500 S MULLER PKWY; VILLAGE AT MULLER PARK,LB404,BPD,NO REPORT
B19-13003,04-01-19,18:05,April,Monday,DISTURBANCE IP,1348 N ARLINGTON PARK DR; APT 812,LB514,BPD,NO REPORT
B19-13024,04-01-19,20:57,April,Monday,DISTURBANCE IP,221 W 2ND ST; WENDYS SEMINARY SQUARE,LB410,BPD,NO REPORT
B19-13043,04-02-19,00:49,April,Tuesday,DISTURBANCE IP,222 N WALNUT ST; ROCKITS FAMOUS PIZZA,LB102,BPD,NO REPORT
B19-13093,04-02-19,14:06,April,Tuesday,DISTURBANCE IP,4665 W SUNSET AVE,LB402,BPD,REPORT
B19-13142,04-02-19,21:16,April,Tuesday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT
B19-13143,04-02-19,21:20,April,Tuesday,DISTURBANCE IP,612 S STATE ROAD 446; APT 25C,LB307,BPD,NO REPORT
B19-13183,04-03-19,04:18,April,Wednesday,DISTURBANCE IP,1007 N ILLINOIS ST,LB517,BPD,NO REPORT
B19-13186,04-03-19,06:02,April,Wednesday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT
B19-13198,04-03-19,09:37,April,Wednesday,DISTURBANCE IP,155 E KENNEDY CT,LB336,BPD,REPORT
B19-13258,04-03-19,18:40,April,Wednesday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT
B19-13276,04-03-19,20:54,April,Wednesday,DISTURBANCE IP,1391 W 3RD ST,LB406,BPD,NO REPORT
B19-13298,04-04-19,00:08,April,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B174,LB336,BPD,NO REPORT
B19-13305,04-04-19,00:42,April,Thursday,DISTURBANCE IP,4391 W BELLE AVE,,BPD,NO REPORT
B19-13326,04-04-19,06:59,April,Thursday,DISTURBANCE IP,1600 N WILLIS DR;LOT 123,LB513,BPD,NO REPORT
B19-13351,04-04-19,12:03,April,Thursday,DISTURBANCE IP,500 S LIBERTY DR; KROGER WHITEHALL,LB403,BPD,NO REPORT
B19-13362,04-04-19,12:57,April,Thursday,DISTURBANCE IP,405 E KIRKWOOD AVE; CAFE PIZZARIA,LB102,BPD,NO REPORT
B19-13369,04-04-19,14:20,April,Thursday,DISTURBANCE IP,W 11TH ST & N MONROE ST,LB517,BPD,REPORT
B19-13400,04-04-19,17:07,April,Thursday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT
B19-13420,04-04-19,20:34,April,Thursday,DISTURBANCE IP,N BLAIR AVE & W 13TH CT,LB518,BPD,NO REPORT
B19-13456,04-05-19,02:55,April,Friday,DISTURBANCE IP,421 N CLARK ST,LB222,BPD,NO REPORT
B19-13472,04-05-19,08:05,April,Friday,DISTURBANCE IP,810 N OOLITIC DR,LB517,BPD,NO REPORT
B19-13476,04-05-19,09:08,April,Friday,DISTURBANCE IP,W STATE ROAD 45 & S CURRY PIKE,LB427,BPD,NO REPORT
B19-13505,04-05-19,13:14,April,Friday,DISTURBANCE IP,612 S STATE ROAD 446; APT 26C,LB307,BPD,NO REPORT
B19-13510,04-05-19,14:12,April,Friday,DISTURBANCE IP,620 S WALNUT ST,LB410,BPD,NO REPORT
B19-13538,04-05-19,17:20,April,Friday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,REPORT
B19-13563,04-05-19,21:25,April,Friday,DISTURBANCE IP,411 E SOUTHERN DR,LB315,BPD,NO REPORT
B19-13571,04-05-19,22:38,April,Friday,DISTURBANCE IP,703 W GOURLEY PIKE; APT 26,LB513,BPD,NO REPORT
B19-13583,04-05-19,23:50,April,Friday,DISTURBANCE IP,411 E SOUTHERN DR; APT 11,LB315,BPD,NO REPORT
B19-13590,04-06-19,00:17,April,Saturday,DISTURBANCE IP,240 N WASHINGTON ST,LB102,BPD,NO REPORT
B19-13593,04-06-19,00:31,April,Saturday,DISTURBANCE IP,307 N PETE ELLIS DR; CAMBRIDGE SQUARE APARTMENTS,LB221,BPD,NO REPORT
B19-13602,04-06-19,01:42,April,Saturday,DISTURBANCE IP,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,REPORT
B19-13610,04-06-19,02:17,April,Saturday,DISTURBANCE IP,1722 N WALNUT ST; AMERICAS BEST VALUE INN,LB212,BPD,NO REPORT
B19-13625,04-06-19,05:12,April,Saturday,DISTURBANCE IP,1600 N WILLIS DR,LB513,BPD,NO REPORT
B19-13633,04-06-19,07:54,April,Saturday,DISTURBANCE IP,411 E SOUTHERN DR; APT 8,LB315,BPD,REPORT
