Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Report/No Report
B17-01467,1/13/2017,20:51:23,January,Friday,ALCOHOL RELATED,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT
B17-03164,1/27/2017,1:24:19,January,Friday,ALCOHOL RELATED,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT
B17-03249,1/27/2017,16:58:07,January,Friday,ALCOHOL RELATED,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT
B17-03307,1/27/2017,23:18:08,January,Friday,ALCOHOL RELATED,1605 N DUNN ST,LB212,BPD,NO REPORT
B17-06946,2/24/2017,19:52:34,February,Friday,ALCOHOL RELATED,301 S WALNUT ST,LB104,BPD,NO REPORT
B17-07757,3/2/2017,19:50:29,March,Thursday,ALCOHOL RELATED,301 S WALNUT ST,LB104,BPD,NO REPORT
B17-09548,3/14/2017,19:32:51,March,Tuesday,ALCOHOL RELATED,301 S WALNUT ST,LB104,BPD,NO REPORT
B17-12526,4/5/2017,0:25:07,April,Wednesday,ALCOHOL RELATED,430 E KIRKWOOD AVE; DUNNKIRK SQUARE,LB104,BPD,NO REPORT
B17-13696,4/12/2017,22:53:48,April,Wednesday,ALCOHOL RELATED,504 S BASSWOOD DR; APT N,LB404,BPD,NO REPORT
B17-13959,4/14/2017,19:03:52,April,Friday,ALCOHOL RELATED,3620 W 3RD ST; BIG LOTS,LB524,BPD,NO REPORT
B17-15123,4/21/2017,21:10:02,April,Friday,ALCOHOL RELATED,430 E KIRKWOOD AVE; DUNNKIRK SQUARE,LB104,BPD,NO REPORT
B17-15209,4/22/2017,2:22:27,April,Saturday,ALCOHOL RELATED,301 E BROWNSTONE DR; APT 227; BROWNSTONE APT,LB213,BPD,NO REPORT
B17-15454,4/23/2017,0:39:29,April,Sunday,ALCOHOL RELATED,207 S COLLEGE AVE,LB103,BPD,NO REPORT
B17-16593,4/30/2017,14:17:59,April,Sunday,ALCOHOL RELATED,360 N JACOB DR; O CHARLEYS,LB523,BPD,NO REPORT
B17-17061,5/3/2017,16:14:59,May,Wednesday,ALCOHOL RELATED,2550 E 3RD ST; HUHOT,LB304,BPD,NO REPORT
B17-20753,5/29/2017,10:17:41,May,Monday,ALCOHOL RELATED,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT
B17-21250,6/1/2017,19:04:26,June,Thursday,ALCOHOL RELATED,1015 N ROGERS ST; ARCADIA HEIGHTS APARTMENTS; C12,LB518,BPD,NO REPORT
B17-24059,6/20/2017,18:05:05,June,Tuesday,ALCOHOL RELATED,703 W GOURLEY PIKE,LB513,BPD,NO REPORT
B17-24704,6/24/2017,16:27:20,June,Saturday,ALCOHOL RELATED,616 E AUDUBON DR,LMN21,BPD,NO REPORT
B17-25519,6/29/2017,13:47:05,June,Thursday,ALCOHOL RELATED,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT
B17-27669,7/12/2017,17:41:31,July,Wednesday,ALCOHOL RELATED,703 W GOURLEY PIKE; THE ARCH,LB513,BPD,NO REPORT
B17-29331,7/23/2017,23:06:56,July,Sunday,ALCOHOL RELATED,1122 W 11TH ST; OUR WAY C STORE,LB517,BPD,NO REPORT
B17-31936,8/10/2017,10:06:46,August,Thursday,ALCOHOL RELATED,400 E KIRKWOOD AVE,LB104,BPD,NO REPORT
B17-34601,8/26/2017,17:40:41,August,Saturday,ALCOHOL RELATED,301 S WALNUT ST ; BLOOMINGTON TRANSIT,LB104,BPD,NO REPORT
B17-34664,8/27/2017,0:33:39,August,Sunday,ALCOHOL RELATED,2900 W ALDER CT; APT E,LB415,BPD,NO REPORT
B17-37913,9/15/2017,16:28:20,September,Friday,ALCOHOL RELATED,3910 W 3RD ST; CVS PHARMACY WEST 3RD ST,LB524,BPD,NO REPORT
B17-40105,9/29/2017,14:16:47,September,Friday,ALCOHOL RELATED,1110 N COLLEGE AVE; BIG RED LIQUORS N COLLEGE AVE,LB519,BPD,NO REPORT
B17-42461,10/15/2017,14:29:30,October,Sunday,ALCOHOL RELATED,3133 E GOODNIGHT WAY; 3131 E GOODNIGHT WAY CLUBHOUSE,LB310,BPD,NO REPORT
B17-44200,10/27/2017,13:38:41,October,Friday,ALCOHOL RELATED,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT
B17-44485,10/29/2017,2:56:40,October,Sunday,ALCOHOL RELATED,S ROGERS ST & W KIRKWOOD AVE,LB520,BPD,NO REPORT
B17-44908,11/1/2017,0:05:42,November,Wednesday,ALCOHOL RELATED,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT
