Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Report/No Report
B17-40105,09-29-17,14:16,September,Friday,ALCOHOL RELATED,1110 N COLLEGE AVE; BIG RED LIQUORS N COLLEGE AVE,LB519,BPD,NO REPORT
B17-37913,09-15-17,16:28,September,Friday,ALCOHOL RELATED,3910 W 3RD ST; CVS PHARMACY WEST 3RD ST,LB524,BPD,NO REPORT
B17-36965,09-10-17,00:15,September,Sunday,ALCOHOL RELATED,E 19TH ST & N WASHINGTON ST,LB212,BPD,REPORT
B17-34664,08-27-17,00:33,August,Sunday,ALCOHOL RELATED,2900 W ALDER CT; APT E,LB415,BPD,NO REPORT
B17-34601,08-26-17,17:40,August,Saturday,ALCOHOL RELATED,301 S WALNUT ST ; BLOOMINGTON TRANSIT,LB104,BPD,NO REPORT
B17-31936,08-10-17,10:06,August,Thursday,ALCOHOL RELATED,400 E KIRKWOOD AVE,LB104,BPD,NO REPORT
B17-29331,07-23-17,23:06,July,Sunday,ALCOHOL RELATED,1122 W 11TH ST; OUR WAY C STORE,LB517,BPD,NO REPORT
B17-27669,07-12-17,17:41,July,Wednesday,ALCOHOL RELATED,703 W GOURLEY PIKE; THE ARCH,LB513,BPD,NO REPORT
B17-40327,09-30-17,23:53,September,Saturday,DISTURBANCE IP,444 E 3RD ST,LB104,BPD,NO REPORT
B17-40281,09-30-17,18:43,September,Saturday,DISTURBANCE IP,3001 E 3RD ST; TACO BELL EAST,LB221,BPD,NO REPORT
B17-40239,09-30-17,12:56,September,Saturday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; B187,LB336,BPD,NO REPORT
B17-40215,09-30-17,07:21,September,Saturday,DISTURBANCE IP,212 E VERMILYA AVE,LB315,BPD,NO REPORT
B17-40211,09-30-17,06:35,September,Saturday,DISTURBANCE IP,212 E VERMILYA AVE,LB315,BPD,NO REPORT
B17-40165,09-29-17,21:55,September,Friday,DISTURBANCE IP,1965 S WALNUT ST; BLOOMINGTON HIGH SCHOOL SOUTH,LB327,BPD,NO REPORT
B17-40161,09-29-17,21:29,September,Friday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT
B17-40149,09-29-17,19:35,September,Friday,DISTURBANCE IP,1220 N ARLINGTON PARK DR; APT 106,LB514,BPD,NO REPORT
B17-40132,09-29-17,16:56,September,Friday,DISTURBANCE IP,350 S LIBERTY DR ; T MOBILE,LB403,BPD,NO REPORT
