Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Report/No Report
B19-29821,07-20-19,00:53,July,Saturday,ALCOHOL RELATED,519 N LINCOLN ST; APT 7,LB102,BPD,No Report
B19-33038,08-10-19,02:57,August,Saturday,ALCOHOL RELATED,207 S COLLEGE AVE; THE BACK DOOR,LB103,BPD,No Report
B19-33752,08-14-19,16:11,August,Wednesday,ALCOHOL RELATED,4023 W 3RD ST; CLOVERLEAF WEST,LB402,BPD,No Report
B19-34865,08-21-19,16:46,August,Wednesday,ALCOHOL RELATED,101 W 2ND ST; SEMINARY PARK,LB410,BPD,No Report
B19-35324,08-23-19,23:03,August,Friday,ALCOHOL RELATED,620 W KIRKWOOD AVE; JUANNITAS,LB520,BPD,No Report
B19-36238,08-29-19,14:17,August,Thursday,ALCOHOL RELATED,217 W KIRKWOOD AVE; HYATT PLACE HOTEL,LB103,BPD,Report
B19-36932,09-02-19,11:29,September,Monday,ALCOHOL RELATED,2498 S WALNUT ST; BURGER KING SOUTH,LB422,BPD,No Report
B19-37697,09-06-19,22:57,September,Friday,ALCOHOL RELATED,620 W KIRKWOOD AVE; JUANNITAS,LB520,BPD,Report
B19-37718,09-07-19,00:43,September,Saturday,ALCOHOL RELATED,430 E KIRKWOOD AVE,LB104,BPD,Report
B19-26835,07-01-19,04:34,July,Monday,DISTURBANCE IP,793 E SHERWOOD HILLS DR,LB329,BPD,No Report
B19-26875,07-01-19,13:17,July,Monday,DISTURBANCE IP,624 S WALNUT ST; WHEELS AUTO SALES,LB410,BPD,No Report
B19-26947,07-01-19,21:33,July,Monday,DISTURBANCE IP,502 S MULLER PKWY; APT 204,LB404,BPD,No Report
B19-26980,07-02-19,00:40,July,Tuesday,DISTURBANCE IP,1613 W 7TH ST,LB521,BPD,No Report
B19-27007,07-02-19,08:14,July,Tuesday,DISTURBANCE IP,500 S WALNUT ST,LB410,BPD,No Report
B19-27066,07-02-19,15:48,July,Tuesday,DISTURBANCE IP,N LINCOLN ST & E 6TH ST,LB102,BPD,No Report
B19-27085,07-02-19,17:18,July,Tuesday,DISTURBANCE IP,110 S INDIANA AVE; STARBUCKS DOWNTOWN,LB104,BPD,No Report
B19-27120,07-02-19,20:59,July,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; COURTYARD,LB336,BPD,No Report
B19-27156,07-03-19,01:59,July,Wednesday,DISTURBANCE IP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,No Report
B19-27161,07-03-19,03:13,July,Wednesday,DISTURBANCE IP,1200 N WOODBURN AVE,LB519,BPD,Report
B19-27165,07-03-19,03:57,July,Wednesday,DISTURBANCE IP,327 N MAPLE ST,LB520,BPD,No Report
B19-27299,07-03-19,20:53,July,Wednesday,DISTURBANCE IP,N ILLINOIS ST & W 12TH ST,LB517,BPD,No Report
B19-27303,07-03-19,21:13,July,Wednesday,DISTURBANCE IP,N ILLINOIS ST & W 13TH ST,LB517,BPD,No Report
B19-27313,07-03-19,23:10,July,Wednesday,DISTURBANCE IP,1351 W ALLEN ST; APT 21,LB413,BPD,No Report
B19-27320,07-04-19,01:05,July,Thursday,DISTURBANCE IP,1227 N MAPLE ST,LB518,BPD,No Report
B19-27333,07-04-19,03:46,July,Thursday,DISTURBANCE IP,1820 W MARQUIS DR,LB517,BPD,No Report
B19-27343,07-04-19,07:37,July,Thursday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,No Report
B19-27344,07-04-19,07:35,July,Thursday,DISTURBANCE IP,3300 S ODELL DR,LB336,BPD,No Report
B19-27358,07-04-19,09:37,July,Thursday,DISTURBANCE IP,1200 S ROLLING RIDGE WAY; APT 907,LMS31,BPD,No Report
B19-27389,07-04-19,14:31,July,Thursday,DISTURBANCE IP,2910 W 3RD ST; MCDONALDS WEST,LB523,BPD,No Report
B19-27395,07-04-19,14:53,July,Thursday,DISTURBANCE IP,114 S INDIANA AVE,LB104,BPD,No Report
B19-27415,07-04-19,16:31,July,Thursday,DISTURBANCE IP,211 E BROWNSTONE DR,LB213,BPD,No Report
B19-27429,07-04-19,19:15,July,Thursday,DISTURBANCE IP,100 W KIRKWOOD AVE; MONROE COUNTY COURTHOUSE,LMNC,BPD,No Report
B19-27463,07-04-19,23:54,July,Thursday,DISTURBANCE IP,430 E KIRKWOOD AVE,LB104,BPD,No Report
B19-27479,07-05-19,01:48,July,Friday,DISTURBANCE IP,N ILLINOIS ST & W ILLINOIS CT,LB517,BPD,No Report
B19-27517,07-05-19,10:20,July,Friday,DISTURBANCE IP,3801 E MCCRACKEN WAY; UNIT 5,LB220,BPD,Report
B19-27539,07-05-19,13:35,July,Friday,DISTURBANCE IP,417 W KIRKWOOD AVE; REGIONS BANK DRIVE THRU,LB103,BPD,No Report
B19-27548,07-05-19,14:27,July,Friday,DISTURBANCE IP,1004 W COUNTRY CLUB DR; APT 3,LB423,BPD,No Report
B19-27614,07-05-19,21:47,July,Friday,DISTURBANCE IP,1007 N ILLINOIS ST,LB517,BPD,No Report
B19-27622,07-05-19,22:45,July,Friday,DISTURBANCE IP,310 E 20TH ST; APT 5,LB212,BPD,No Report
B19-27633,07-05-19,23:52,July,Friday,DISTURBANCE IP,S WALNUT ST & W 3RD ST,LB103,BPD,No Report
B19-27638,07-06-19,00:32,July,Saturday,DISTURBANCE IP,4321 W GIFFORD RD,LMS29,BPD,Report
B19-27639,07-06-19,00:40,July,Saturday,DISTURBANCE IP,2440 S HENDERSON ST; CRAWFORD APARTMENTS,LB327,BPD,No Report
B19-27654,07-06-19,03:42,July,Saturday,DISTURBANCE IP,209 S COLLEGE AVE; THE ATLAS BAR,LB103,BPD,No Report
B19-27673,07-06-19,09:06,July,Saturday,DISTURBANCE IP,520 S WALNUT ST; US POST OFFICE DOWNTOWN,LB410,BPD,No Report
B19-27703,07-06-19,14:23,July,Saturday,DISTURBANCE IP,3911 W MAYBURY MALL; APT B15,LB428,BPD,No Report
B19-27716,07-06-19,15:37,July,Saturday,DISTURBANCE IP,2304 S FORD AVE,LB423,BPD,No Report
B19-27747,07-06-19,19:38,July,Saturday,DISTURBANCE IP,1011 N ILLINOIS ST,LB517,BPD,No Report
B19-27764,07-06-19,20:58,July,Saturday,DISTURBANCE IP,426 S COLLEGE AVE,LB103,BPD,No Report
B19-27784,07-07-19,00:13,July,Sunday,DISTURBANCE IP,214 W KIRKWOOD AVE; CRAZY HORSE FOOD AND DRINK EMPORIUM,LB101,BPD,No Report
B19-27804,07-07-19,06:54,July,Sunday,DISTURBANCE IP,510 W NORTHLANE DR,LB513,BPD,Report
B19-27834,07-07-19,14:01,July,Sunday,DISTURBANCE IP,200 E STATE ROAD 45 46 BYPASS; DAYS INN BLOOMINGTON,LB212,BPD,No Report
B19-27884,07-07-19,18:25,July,Sunday,DISTURBANCE IP,2125 S HIGHLAND AVE; MONROE COUNTY YMCA BLOOMINGTON,LB325,BPD,No Report
B19-27891,07-07-19,19:31,July,Sunday,DISTURBANCE IP,1610 W 3RD ST; PIZZA X WEST,LB521,BPD,No Report
B19-27909,07-07-19,21:45,July,Sunday,DISTURBANCE IP,2430 S WALNUT ST; DOLLAR GENERAL SOUTH WALNUT SQUARE,LB422,BPD,No Report
B19-27926,07-07-19,23:29,July,Sunday,DISTURBANCE IP,1213 W 13TH ST,LB517,BPD,Report
B19-27992,07-08-19,12:09,July,Monday,DISTURBANCE IP,3209 E 10TH ST; FOUNTAIN PARK APTS,LB216,BPD,No Report
B19-27993,07-08-19,12:13,July,Monday,DISTURBANCE IP,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,No Report
B19-28004,07-08-19,13:41,July,Monday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,No Report
B19-28017,07-08-19,14:43,July,Monday,DISTURBANCE IP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,Report
B19-28067,07-08-19,19:00,July,Monday,DISTURBANCE IP,1202 N LINCOLN ST; APT 1,LB213,BPD,No Report
B19-28104,07-09-19,00:10,July,Tuesday,DISTURBANCE IP,N ILLINOIS ST & W 12TH ST,LB517,BPD,No Report
B19-28111,07-09-19,01:30,July,Tuesday,DISTURBANCE IP,1010 N ILLINOIS ST,LB517,BPD,No Report
B19-28118,07-09-19,03:48,July,Tuesday,DISTURBANCE IP,1136 W 17TH ST,LB513,BPD,No Report
B19-28123,07-09-19,05:55,July,Tuesday,DISTURBANCE IP,1412 W ILLINOIS CT,LB517,BPD,No Report
B19-28147,07-09-19,10:38,July,Tuesday,DISTURBANCE IP,3201 W 3RD ST; OUTBACK STEAKHOUSE,LB403,BPD,No Report
B19-28159,07-09-19,12:26,July,Tuesday,DISTURBANCE IP,535 S WALNUT ST; ARBYS SOUTH,LB301,BPD,No Report
B19-28186,07-09-19,15:13,July,Tuesday,DISTURBANCE IP,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,No Report
B19-28243,07-09-19,19:39,July,Tuesday,DISTURBANCE IP,400 S OPPORTUNITY LN; WHEELER MISSION,LB404,BPD,No Report
B19-28264,07-09-19,21:52,July,Tuesday,DISTURBANCE IP,S ROGERS ST & W 1ST ST,LB409,BPD,No Report
B19-28307,07-10-19,08:12,July,Wednesday,DISTURBANCE IP,2446 S HENDERSON ST; APT 228,LB327,BPD,No Report
B19-28334,07-10-19,11:26,July,Wednesday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 601,LB424,BPD,No Report
B19-28346,07-10-19,13:30,July,Wednesday,DISTURBANCE IP,110 S INDIANA AVE; STARBUCKS DOWNTOWN,LB104,BPD,No Report
B19-28432,07-11-19,01:15,July,Thursday,DISTURBANCE IP,B-LINE TRAIL & W 2ND ST,LB103,BPD,No Report
B19-28436,07-11-19,01:49,July,Thursday,DISTURBANCE IP,308 W 2ND ST,,BPD,No Report
B19-28440,07-11-19,03:13,July,Thursday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,Report
B19-28459,07-11-19,08:54,July,Thursday,DISTURBANCE IP,2309 S ZONA CT,LB424,BPD,No Report
B19-28531,07-11-19,16:43,July,Thursday,DISTURBANCE IP,513 E GRAHAM PL,LB327,BPD,No Report
B19-28540,07-11-19,17:34,July,Thursday,DISTURBANCE IP,714 S FAIRVIEW ST; APT 5,LB409,BPD,No Report
B19-28578,07-11-19,23:18,July,Thursday,DISTURBANCE IP,703 W GOURLEY PIKE; APT 121,LB513,BPD,No Report
B19-28582,07-11-19,23:50,July,Thursday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6,LB212,BPD,No Report
B19-28639,07-12-19,10:08,July,Friday,DISTURBANCE IP,W 17TH ST & N LINDBERGH DR,LB517,BPD,No Report
B19-28654,07-12-19,12:26,July,Friday,DISTURBANCE IP,514 E UNIVERSITY ST,LB301,BPD,No Report
